logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
3.43,13.95,NA,-2.98,-3.99,CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1
1.94,3.33,17.47,NA,NA,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1
2.92,9.85,NA,NA,NA,NC(=S)C1=C(Cl)C=CC=C1Cl
3.01,6.58,8.18,-5.38,-6.37,OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C3=CC=CC=C3
5.83,8.49,15.01,4.3,-2.8,CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC3=CC(C)=C(CO)C=C3C(C)(C)C)C(=O)O1
1.82,9.47,NA,-3.01,-4.6,COC1=CC2=C(SC(C(=O)NC3=NN=N[N]3)=C2OC(C)C)C=C1
3.82,3.57,NA,1.26,NA,OC(=O)C1=C2C=CC=CC2=NC(=C1)C3=CC=CC=C3
0.33,3.34,13.14,9.23,-1.35,CC(CC1=CC=C(OCC(O)=O)C=C1)NCC(O)C2=CSC(=N2)C(F)(F)F
1.66,10.99,15.79,9.29,-4.16,CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1
2.64,3.48,8.68,-3.7,-5.56,ONC(=O)C1(CCCC1)N(CCC(O)=O)S(=O)(=O)C2=CC=C(OC3=CC=C(F)C=C3)C=C2
1.3,8.67,10.33,-3.56,-4.26,ONC(=O)C1(CCOCC1)NS(=O)(=O)C2=CC=C(OC3=CC=C(F)C=C3)C=C2
3.14,3.41,14.03,1.7,-3.12,C[C@@H](OC1=CC=C(CNC(=O)C2=CC=CN=C2OC3=CC=C4OCOC4=C3)C(F)=C1)C(O)=O
1.96,14.44,15.78,0.57,-5.15,CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
2.95,3.39,12.53,-7.3,NA,OC(=O)C1(CC1)C(=O)NC2=CC=C(Cl)C=C2Cl
-0.83,12.43,NA,-1.53,NA,[O][N](=O)C1=CC=C(C=C1)C2=CC=C(O2)C=NN3CC(=O)[N]C3=O
1.27,NA,NA,2.39,1.57,NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(N)C=C2
2.68,2.54,NA,-4.95,NA,COC1=C(Cl)C=CC(Cl)=C1C(O)=O
3.81,14.38,16.41,-2.07,NA,[O]C(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
-0.01,16.12,NA,-0.94,NA,NC1=C(Cl)C=C(C=C1Cl)[N]([O])=O
3.76,8.76,NA,-2.39,-5.9,CCOC1=NC(F)=CC2=NC(=NN12)S(=O)(=O)NC3=C(Cl)C=CC=C3Cl
2,11.01,17.12,1.37,-4.52,C/C(=N\NC(=O)NC1=CC(F)=CC(F)=C1)/C2=NC=CC=C2C([O])=O
-1.23,15.29,NA,2.4,-2.64,CCN(CC)C1=C(C=C(C(N)=C1[N]([O])=O)C(F)(F)F)[N]([O])=O
-1.37,6.1,NA,-7.23,-9.65,CCC(C)C1=CC(=CC(=C1O)[N]([O])=O)[N]([O])=O
-1.51,6.26,NA,-7.04,-9.65,CC(C)(C)C1=CC(=CC(=C1O)[N]([O])=O)[N]([O])=O
5.77,NA,NA,-1.88,-6.78,CSC(=O)C1=C(N=C(C(C(=O)SC)=C1CC(C)C)C(F)(F)F)C(F)F
2.14,4.32,NA,NA,NA,OC(=O)/C=C/C1=CC=CC=C1
3.82,7.29,8.29,-5.36,-5.65,CC1=CC(O)=C2C(=O)C3=C(O)C=C(O)C=C3C(=O)C2=C1
3.16,NA,NA,NA,NA,ClC1=C(Cl)C2(Cl)C3COS(=O)(=O)OCC3C1(Cl)C2(Cl)Cl
1.33,11.89,NA,5,NA,CCC1=NC=CC(=C1)C(N)=S
2.83,12.78,17.54,2.11,-4.31,CCCCC1=C(O)N=C(NCC)N=C1C
2.22,9.67,NA,-6.28,NA,CCOC(=O)C1=NN(C(=O)C1)C2=CC=CC=C2
2.03,8.5,NA,-6.06,-6.88,CCOC(=O)C1=CC=C(O)C=C1
2.5,13.51,19.88,7.11,-3.14,CC1=C(C[C@H]2CCC3=C(C)C4=C(C=CC=C4)N3C2=O)N=CN1
5.25,14.26,NA,-3.69,-9.41,CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C3=CC=C(OC4=CC=CC=C4)C=C3
7.31,3.76,15.64,0.93,-0.25,CC1=C(CCOC2=CC=C(C[C@H](NC3=C(C=CC=C3)C(=O)C4=CC=CC=C4)C(O)=O)C=C2)N=C(O1)C5=CC=CC=C5
3.92,12.13,NA,1.04,-3.96,OC(C1=CC=C(Cl)C=C1)(C2=CN=CN=C2)C3=CC=CC=C3Cl
4.49,NA,NA,0.18,-6.99,NC1=C(C(=NN1C2=C(Cl)C=C(C=C2Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
2.09,8.8,NA,-3.44,-5.86,COC1=NC=C(F)C2=NC(=NN12)S(=O)(=O)NC3=C(F)C=CC=C3F
2.33,10.03,NA,0.92,NA,[O][N](=O)C1=CC(=C(Cl)C(=C1NC2=C(Cl)C=C(C=N2)C(F)(F)F)[N]([O])=O)C(F)(F)F
4.98,12.89,15.3,-1.68,-4.24,CC1=CC(=CC=C1NC(=O)C2=CC=CC(I)=C2C(=O)NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F
5.25,3.88,17.53,-2.14,NA,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1
3.05,NA,NA,-4.94,-7.4,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl
3.88,8.72,9.32,-3.74,-6.02,OC1=CC2=C(C=C1)C3(OC(=O)C4=C3C=CC=C4)C5=C(O2)C=C(O)C=C5
1.59,2.41,NA,-1.41,-9.26,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl
4.81,NA,NA,-1.41,-7.51,CCCCCCC(C)OC(=O)COC1=NC(F)=C(Cl)C(N)=C1Cl
0.93,4.03,NA,-3.73,NA,CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N]([O])=O
2.88,6.48,NA,-4.71,-5.47,COC1=CC=C(C=C1)C2=COC3=C(C=CC(O)=C3)C2=O
1.36,11.57,13.75,-2.98,-3.33,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C
4.83,NA,NA,2.55,-2.07,CCCCC1=NC2=C(N=CC=C2)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[N]5
0.35,4.16,14.07,-0.9,-3.21,C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O
1.43,4.32,13.87,0.06,-2.97,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
3.79,4.32,13.72,-1.36,-5.81,COC1=C(C=C(Cl)C=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
3.89,7.95,NA,10.73,5.69,CNS(=O)(=O)C1=C(F)C=C(Cl)C(=C1)C(=O)N2CCC(CCN3C4CCC3CC(C4)N5C(C)=NC6=C5C=CC=C6)(CC2)C7=CC(F)=CC=C7
3.97,9.67,NA,-3.58,NA,CC(C)(C)N(NC(=O)C1=CC=C(Cl)C=C1)C(=O)C2=CC=CC=C2
4.22,2.78,NA,0.2,-4.9,CC(OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O
7.08,5.15,8.79,-7.38,-7.38,OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl
6.82,16.73,NA,6.03,-4.28,CC1(C)CNC(NC1)=NN=C(/C=C/C2=CC=C(C=C2)C(F)(F)F)\C=C\C3=CC=C(C=C3)C(F)(F)F
-0.09,12.43,14.05,-3.58,-7.6,CC(C)(O)C(=O)NC1=CC(=C(C=C1)[N]([O])=O)C(F)(F)F
2.41,3.6,12.36,-3.54,-4.58,CC(C)[C@H](SC(C)=O)C(=O)N[C@H]1CC2=C(C=CC=C2)[C@H]3CCC[C@H](N3C1=O)C(O)=O
1.17,3.69,10.7,2.02,-0.24,COCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
2.73,3.67,10.7,1.77,-1.3,CC(C)C1(C)N=C(NC1=O)C2=NC3=C(C=CC=C3)C=C2C(O)=O
2.28,3.67,10.71,1.95,-0.77,CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
-1.54,18.96,NA,0.99,-0.22,[O][N](=O)/N=C/1\NCCN1CC2=CN=C(Cl)C=C2
3.53,3.79,NA,-2.93,-4.87,COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O
0.95,12.5,13.43,-1.45,-3.33,O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=CC(Cl)=CC=C3N2)C(=O)N4C[C@H](O)[C@H](O)C4
4.58,2.85,19.25,1.76,NA,CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O
3.38,5.61,NA,-8.16,NA,OC1=C(I)C=C(C=C1I)C#N
3.95,13.81,NA,2.01,-3.32,CC(C)C1CCC(CC2=CC=C(Cl)C=C2)C1(O)CN3C=NC=N3
0.36,6.11,NA,0.84,-2.77,C(NC1=C2N=CN=C2N=CN1)C3=CC=CO3
1.89,8.05,14.11,9.8,-1.02,CC(CCC1=CC=CC=C1)NCC(O)C2=CC(C(N)=O)=C(O)C=C2
3.73,0.27,7.43,9.43,-3.79,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O
2.68,11.94,NA,-4.68,NA,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
5.02,4.79,18.3,-1.36,NA,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
6.12,9.02,14.87,-5.21,-9.05,FC(C(F)(F)F)C(F)(F)OC1=CC(Cl)=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl
5.4,3.89,17.77,-1.58,NA,CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1
1.15,15.8,16.59,-1.57,-4.83,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
0.44,NA,NA,2.78,-2.17,CC1=NN=C(C(=O)N1N)C2=CC=CC=C2
