logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
2.64,10.63,15.71,1.42,-2.21,CCOC1=NC2=C(NC=C(C(=O)NCC3=CC=CC=C3)C2=O)C=C1
6.88,NA,NA,-1.29,-1.93,CC[C@@H]1C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C3=C(C=CC(=C3)C(F)(F)F)N1C(=O)OC(C)C
4.38,NA,NA,8.65,-4.38,CNCC1=C(OC2=CC=C(Cl)C(Cl)=C2)C=CC(F)=C1
3.28,13.47,NA,5.62,5.54,C[C@@H](O)C1=NC(=CC=N1)N2[C@@H](C)CN(C[C@H]2C)C3=NC(C)=NC(C)=N3
3.53,NA,NA,8.92,5.58,CC[C@H]1CC[C@H](NCC2=CC3=C(C=C2OC)[C@H]4C[C@H]4C(=O)N3C)[C@@H](N1)C5=CC=CC=C5
2.99,NA,NA,2.54,-0.43,CC(C)C1=NN=C2C=CC(=CN12)C3=C(N=CO3)C4=CC(F)=CC=C4F
3.09,NA,NA,-0.6,NA,CCN(C(=O)C=CC)C1=CC=CC=C1C
3.19,10.7,NA,NA,NA,CNP(=O)(OC)OC1=CC=C(C=C1Cl)C(C)(C)C
2.99,14.13,15.34,6.68,0.41,CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1
3.8,18.2,NA,10.03,-1.4,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]13CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C
3.21,13.63,NA,3.1,-1.85,CC1=NC(NC2=CC=CC=C2)=NC(=C1)C3CC3
2.73,6.48,8.96,-5.34,-6,OC1=CC=C(C=C1)C2=COC3=C(C=CC(O)=C3)C2=O
3.46,17.59,NA,0.25,-1.67,C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C
1.54,14.58,16.3,4.38,-2.01,CC(C)NC1=NC(Cl)=NC(N)=N1
1.89,NA,NA,-3.82,-4.42,COCCOC(=O)C1=C(C=CC=C1)C(=O)OCCOC
2.4,NA,NA,-4.15,-6.54,CC(=C)C(=O)OCCOCCOC(=O)C(C)=C
3.82,NA,NA,-6.92,NA,CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=C(C=CC=C2)C1=O
3.26,NA,NA,8.54,NA,C(NCC1=CC=CC=C1)C2=CC=CC=C2
4.63,NA,NA,-6.66,-7.31,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
2.16,16.67,NA,-9.37,NA,ClC(Cl)C(=O)N(CC=C)CC=C
5.58,NA,NA,-6.66,-7.31,O=C(OC1CCCCC1)C2=C(C=CC=C2)C(=O)OC3CCCCC3
3,13.1,NA,-0.89,-4.61,CCOC1=CC=C(NC(=O)OC(C)C)C=C1OCC
2.69,NA,NA,-6.66,-7.31,CCOC(=O)C1=CC=CC=C1C(=O)OCC
4.86,NA,NA,1.95,-3.58,CC1COC(CN2C=NC=N2)(O1)C3=C(Cl)C=C(OC4=CC=C(Cl)C=C4)C=C3
5.11,13.28,NA,1.6,-5.89,FC1=CC=C(NC(=O)C2=C(OC3=CC(=CC=C3)C(F)(F)F)N=CC=C2)C(F)=C1
6.41,NA,NA,-6.66,-7.31,CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC
4.47,NA,NA,-6.66,-7.31,CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
3.53,NA,NA,-6.66,-7.31,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C
3.48,14.46,15.97,6.74,0.46,CCNC1=NC(SC)=NC(NC(C)C(C)C)=N1
2.92,16.73,NA,-4.11,-5.97,COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C
1.98,NA,NA,-6.65,-7.3,COC(=O)C1=C(C=CC=C1)C(=O)OC
0.23,NA,NA,-2.47,-6.16,CN(C)C(=O)OC1=NN(C(=O)N(C)C)C(C)=C1
5.52,NA,NA,-6.66,-7.31,CCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCC
2.93,NA,NA,-3.13,NA,CN(C)C(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
5.3,NA,NA,-6.72,-7.33,O=C(OC1=CC=CC=C1)C2=CC(=CC=C2)C(=O)OC3=CC=CC=C3
5.3,NA,NA,-6.78,-7.44,O=C(OC1=CC=CC=C1)C2=CC=CC=C2C(=O)OC3=CC=CC=C3
2.71,NA,NA,1.31,-7.97,CCCOC(=O)C1=CC=C(N=C1)C(=O)OCCC
3.74,NA,NA,-6.66,-7.31,CCCOC(=O)C1=C(C=CC=C1)C(=O)OCCC
4.16,NA,NA,NA,NA,CCN(CC)C(=S)SSC(=S)N(CC)CC
2.53,13.18,NA,-3.24,NA,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1
4.25,NA,NA,10.21,NA,CCCCCCCCCCCCN
3.74,NA,NA,2,-4.4,FC1=CC=C(C=C1)C2(CN3C=NC=N3)OC2C4=C(Cl)C=CC=C4
2.59,14.77,NA,NA,NA,CCSCC1=C(OC(=O)NC)C=CC=C1
3.93,NA,NA,NA,NA,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
3,NA,NA,5.15,-6.3,CCOC1=CC2=C(NC(C)(C)C=C2C)C=C1
3.1,NA,NA,-7.09,NA,CCOC(=O)CC1=CC=CC2=C1C=CC=C2
4.12,NA,NA,-7.25,NA,CCOC(=O)C(C#N)=C(C1=CC=CC=C1)C2=CC=CC=C2
0.96,NA,NA,-1.29,-7.08,CCCCN(CCC(=O)OCC)C(C)=O
2.15,19.4,NA,2.16,-8.26,CCOC(=O)C1=C(N)C=CC=C1
1.93,10.84,NA,-7,-7.96,CCOC(=O)CC(=O)C1=CC=CC=C1
2.32,NA,NA,-6.59,-7.13,CCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCC
1.45,11.71,NA,-7.54,NA,CCC(C(=O)NC(N)=O)C1=CC=CC=C1
5.62,NA,NA,0.74,-5.26,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(F)C=CC=C3F
2.41,NA,NA,6.87,NA,N#CC1=CC=C(C=C1)C2CCCC3=CN=CN23
-1.95,9.29,19.96,8.38,1.06,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
1.71,NA,NA,NA,NA,COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N(C)C
3.31,10.54,NA,NA,NA,CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1
4.35,NA,NA,2.27,-6.91,ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C3=CC=CC=C3)C=C1
5.07,NA,NA,-2.84,-8.71,CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C2=C(Cl)C=C(Cl)C=C2
3.31,13.93,NA,-3.65,-4.88,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1
5,NA,NA,2.57,-0.15,CN1N=C(C)C(C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC3=CC=CC=C3
2.11,15.88,NA,-8.13,NA,CCOP(=S)(OCC)OC1=CC=C(C=C1)S(C)=O
1.32,13.47,NA,-3.17,NA,CN(C)C(=O)NC1=CC=CC=C1
3.07,14.53,15.91,0.33,-0.33,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
2.73,16.56,NA,6.09,-4.8,ClC1=CC=C(OCC(=O)N2CCN(CC3=CC4=C(OCO4)C=C3)CC2)C=C1
4.64,NA,NA,-3.16,-7.37,CC(C)OC(=O)C(C)N(C(=O)C1=CC=CC=C1)C2=CC(Cl)=C(F)C=C2
2.97,NA,NA,-5.36,-7.95,O=C1C=C(OC2=CC=CC=C12)C3=CC=CC=C3
5.09,NA,NA,0.8,-4.9,CCCCOC(=O)C(C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1
5.09,NA,NA,0.8,-4.9,CCCCOC(=O)[C@@H](C)OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1
1.6,13.38,13.96,-3.33,-3.39,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
5.18,6.16,15.24,-4.34,-7.28,OC1=C(C=C(Br)C=C1Br)C(=O)NC2=CC(=CC=C2)C(F)(F)F
5.22,NA,NA,0.02,-1,CO/N=C(/C1=NOCCO1)\C2=C(OC3=NC=NC(OC4=CC=CC=C4Cl)=C3F)C=CC=C2
1.56,13.74,14.78,-2.85,-3.33,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
4.87,NA,NA,-4.73,NA,CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3
4.68,NA,NA,2.32,-6.85,C[Si](CN1C=NC=N1)(C2=CC=C(F)C=C2)C3=CC=C(F)C=C3
4.56,14.97,NA,-4.12,-4.99,CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1
2.6,12.55,NA,1.99,-3.87,OC(CN1C=NC=N1)(C2=CC=C(F)C=C2)C3=C(F)C=CC=C3
2.44,NA,NA,NA,NA,CCOP(=O)(SC(C)CC)N1CCSC1=O
2.75,15.86,NA,0.19,-4.81,COC1=CC=C(C=C1)N2N=C(C=C2C3=CC=C(C=C3)S(C)=O)C(F)F
4.56,13.53,14.48,-2.89,-3.07,CC1=C(C2=C(O1)C(NC(=O)C3=C(Cl)C=CC=C3Cl)=CC=C2)C(C)(C)O
2.34,10.11,NA,3.93,-3.96,N1C2=CC=CC=C2N=C1C3=CC=CO3
3.21,NA,NA,-3.04,-4.36,COC(=O)C(C)N(C(=O)C1=CC=CO1)C2=C(C)C=CC=C2C
0.34,13.62,15.56,-2.97,-3.38,COC1=CC=CC=C1OCC(O)CO
3.66,13.96,16.62,8.05,-3.25,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3
3.71,13.34,NA,2,-3.53,CCCCC(O)(CN1C=NC=N1)C2=CC=C(Cl)C=C2Cl
1.37,NA,NA,2.49,-8.79,CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
5.88,17.75,18.6,-4.81,-7.02,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
3.41,15.12,NA,7.45,1.58,OCCOCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
1.61,15.92,NA,-2.4,NA,CCC(C)OC(=O)N1CCCCC1CCO
0.1,14.64,NA,NA,NA,ClCCNP1(=O)OCCCN1CCCl
4.28,NA,NA,9.2,-0.19,CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2
2.64,8.85,11.92,0.1,NA,CC1CC2=C(C=CC=C2)N1NC(=O)C3=CC(=C(Cl)C=C3)S(N)(=O)=O
5.39,NA,NA,-1.44,-5.3,COC(=O)N(C(=O)N1CO[C@]2(CC3=C(C=CC(Cl)=C3)C2=N1)C(=O)OC)C4=CC=C(OC(F)(F)F)C=C4
3.59,13.67,14.27,-3.97,NA,CC(C)OC(=O)N[C@@H](C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1
3.48,NA,NA,-2.9,-8.51,CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1
3.84,9.76,NA,-7,NA,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
2.72,14.77,NA,NA,NA,CNC(=O)OC1=C(C=CC=C1)C(C)C
4.96,NA,NA,-4.47,NA,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O
2.57,13.79,NA,-3.11,NA,CC(C)C1=CC=C(NC(=O)N(C)C)C=C1
4.02,11.35,NA,0.24,-4.59,CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
4.19,NA,NA,6.42,3.96,CC(=O)N1CCN(CC1)C2=CC=C(OC[C@H]3CO[C@@](CN4C=CN=C4)(O3)C5=CC=C(Cl)C=C5Cl)C=C2
5.41,NA,NA,-0.89,NA,CCCCCCCCCCCCN1CCCCCC1=O
3.69,15.29,15.89,9.23,-2.54,CCCCCCCCCCCCN(CCO)CCO
5.7,NA,NA,5.17,4.56,CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=C(C=C3)N(C)C
4.55,NA,NA,4.33,NA,CCOC(=O)N1CCC(CC1)=C2C3=C(CCC4=C2N=CC=C4)C=C(Cl)C=C3
2.72,14.77,NA,NA,NA,CNC(=O)OC1=CC=CC(=C1)C(C)C
2.02,14.64,NA,NA,NA,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
3.72,17.83,NA,-4.86,-6.99,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
4.66,3.08,NA,-6.96,NA,CCCCC(CC)COC(=O)C1=CC=CC=C1C(O)=O
3.82,17.54,NA,-4.86,-7.01,CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1.6,4.47,7.84,0.47,-4.6,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C3=C(C=CC=C3)S1(=O)=O
3.67,13.4,NA,2.41,-2.32,CC#CC1=CC(C)=NC(NC2=CC=CC=C2)=N1
5.01,19.79,NA,9.12,-7.77,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
3.12,14.91,NA,-2.74,-3.85,CC1=C(C)C(C(=O)NC2=CC=CC=C2)=C(C)O1
2.73,14.13,NA,NA,NA,CN(C)C(=S)NC1=CC(C)=CC=C1
5.9,18.48,NA,-1.27,-7.02,CCCCCCC(O)CCCCCCCCCCC(=O)OC
1.82,NA,NA,-4.89,-7.02,COC(=O)C1=C(OC)C=CC=C1
3.31,3.15,NA,3.79,-1.02,CN(C)C1=CC=C(C=C1)/N=N/C2=C(C=CC=C2)C(O)=O
1.56,12.59,13.87,-2.85,-3.33,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
2.24,12.1,NA,-4.68,NA,CON(C)C(=O)NC1=CC=C(Br)C=C1
3.45,16.75,NA,-4.1,-5.88,CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1
1.96,NA,NA,2.46,-4.01,CSC1=NN=C(C(=O)N1N)C(C)(C)C
3.65,NA,NA,3.73,3.12,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C
5.13,12.87,18.46,4.89,-3.73,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C5=CC=C(C=C5)N(C)C
0.33,7.54,NA,4.82,-5.56,CC1=C(C=C(C#N)C(=O)N1)C2=CC=NC=C2
1.93,13.44,NA,-3.18,NA,CN(C)C(=O)NC1=CC=C(Cl)C=C1
3.66,NA,NA,2.27,-6.91,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(Cl)C=C2
2.24,14.94,NA,-4.07,NA,CC(=O)NC1=CC=C(C)C=C1C
2.33,14.41,NA,-4.38,NA,CC(=O)NC1=CC(Cl)=C(C)C=C1
1.34,13.25,NA,-0.9,-5.32,CCCCOCNC(=O)C=C
1.26,13.25,NA,-0.9,-5.32,CC(C)COCNC(=O)C=C
3.97,16.43,NA,9.3,-1.13,CCCCCCCCCCCC(=O)NCCCN(C)C
2.62,16.19,NA,3.74,-1.08,C(NC1=NC=NC2=C1N=CN2C3CCCCO3)C4=CC=CC=C4
2.64,10.4,NA,NA,NA,CCCCNS(=O)(=O)C1=CC=C(C)C=C1
2.13,10.19,NA,NA,NA,CCCCNS(=O)(=O)C1=CC=CC=C1
0.18,15.91,NA,-1.73,NA,CCCCNC(N)=O
3.6,4.12,NA,-1.44,NA,CCCCCCCCCCCC(=O)N(C)CC(O)=O
2.97,16.45,NA,-0.04,NA,CCNC(=O)C1CC(C)CCC1C(C)C
2.7,15.92,NA,-3.32,NA,CNC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2
2.75,NA,NA,-1.34,NA,CCCCCCCCN1CCCC1=O
4.4,19.74,NA,0.34,NA,N(C1=CC=CC=C1)C2=C3C=CC=CC3=CC=C2
4.4,NA,NA,0.52,NA,N(C1=CC=CC=C1)C2=CC=C3C=CC=CC3=C2
0.7,15.28,15.88,1.7,-2.55,OCCN(CCO)C1=CC=CC=C1
2.62,14.34,18.02,NA,NA,CCCCNC(=S)NCCCC
3.06,NA,NA,4.48,NA,CCCCCCCCCC[N+](C)(C)[O-]
0.79,4.37,NA,6.06,-8.9,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
3.21,17.3,NA,-4.89,-6.17,CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1
4.81,NA,NA,-6.59,-7.19,CC(C)(COC(=O)C1=CC=CC=C1)COC(=O)C2=CC=CC=C2
3.56,16.97,NA,8.1,-6.75,COC(=O)C1=C(C)NC(C)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OCCN(C)CC3=CC=CC=C3
3.7,18.41,NA,-4.83,NA,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C
3.66,17.91,18.25,-1.53,-4.73,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]3([H])[C@@]4([H])CCC(=O)C=C4CC[C@@]23[H]
3.46,12.13,NA,1.04,-3.96,OC(C1=CC=C(F)C=C1)(C2=CN=CN=C2)C3=CC=CC=C3Cl
6.72,7.07,NA,-4.86,-6.97,CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C2=CC=CC=C2
3.61,NA,NA,-6.48,-7.08,C=CC(=O)OCC1CCC2C3CC(CC3COC(=O)C=C)C12
5.9,9.3,NA,-0.84,-3.9,CC(C)(C)CC(C)(C)C1=CC(N2N=C3C=CC=CC3=N2)=C(O)C=C1
2.33,9.55,NA,-6.83,NA,CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O
5.31,NA,NA,-4.92,-8.43,CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl
3.83,9.18,9.78,-5.96,-5.96,OC1=CC=C(C=C1)C2(C(=O)NC3=CC=CC=C23)C4=CC=C(O)C=C4
4.63,12.47,NA,4.61,-3.9,OC(C1=CC=C(Cl)C=C1)(C2=CC=C(Cl)C=C2)C3=CC=CN=C3
4.19,NA,NA,2.06,-7.28,CCCC(CN1C=NC=N1)C2=C(Cl)C=C(Cl)C=C2
4.82,10.52,NA,-0.07,NA,CCC(CC)NC1=C(C(C)=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O
-1.4,14.82,15.42,-2.75,-2.75,OCCOCCOCCOCCOCCO
3.7,NA,NA,7.65,NA,ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1
4.7,10.91,16.61,2.42,-2.69,CC1=C2N=C(C3=CC=CC=C3Cl)C4=C(NC2=NN1)C=CC(=C4)[N+]([O-])=O
1.63,14.08,15.36,3.18,-2.79,CN1C(=O)C=C(OC2=C(F)C=C(F)C=C2)C3=C1N=C(NCC(C)(C)O)N=C3
2.98,12.21,15.86,8.57,3.68,COC1=C(NC2=NC3=C(C=N2)N(C)C(=O)C(F)(F)CN3C4CCCC4)C=CC(=C1)C(=O)NC5CCN(C)CC5
3.04,13.51,14.62,0.69,-2.98,CN1C(=O)N(CC2=CN=C(NC3=CC4=C(OC(CO)CO4)C=C3)N=C12)C5=CC=CC=C5Br
1.84,NA,NA,9.18,2.24,CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC13CCN(CC3)C4(C)CCN(CC4)C(=O)C5=C(C)N=CN=C5C
1.41,14.98,NA,-4.24,-5,CCOC1=CC=C(NC(C)=O)C=C1
1.22,NA,NA,0.49,-9.16,CN1N(C(=O)C=C1C)C2=CC=CC=C2
2.69,18.85,NA,6.86,0.65,NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1
3.81,19.4,NA,2.19,-8.25,NC1=CC=CC=C1C(=O)OCCC2=CC=CC=C2
5.57,NA,NA,-3.69,-7.1,CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
3.16,NA,NA,NA,NA,CCOP(=S)(OCC)SCSCC
2.23,14.77,NA,6.59,-3.46,CNC(=O)OC1=CC2=C(C=C1)N(C)[C@H]3N(C)CC[C@@]23C
4.31,NA,NA,0.13,-4.77,CO/C=C(/C(=O)OC)\C1=C(COC2=NC(=CC=C2)C(F)(F)F)C=CC=C1
2.78,NA,NA,-0.13,-4.74,O=C(/C=C/C=C/C1=CC=C2OCOC2=C1)N3CCCCC3
1.8,NA,NA,5,-1.38,CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C
3.68,NA,NA,5.09,-1.49,CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)N(CC)CC
5.36,NA,NA,0.88,-4.01,CCC(C)N(C)C(=O)C1=CC2=C(C=CC=C2)C(=N1)C3=CC=CC=C3Cl
2.3,19.38,NA,-0.6,-4.15,O=C(C1CCCCC1)N2CC3N(CCC4=C3C=CC=C4)C(=O)C2
1.12,11.5,11.62,-6.17,-7.53,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
3.62,NA,NA,2.55,-4.68,CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)N2C=CN=C2
2.07,13.95,15.66,0.53,-5.18,CC(C)(NC1=NC(Cl)=NC(NC2CC2)=N1)C#N
4.42,11.75,NA,-1.4,-4.97,CCCN(CCC)C1=C(C(N)=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
4.15,18.47,19.46,-4.82,-7.36,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
3.23,14.77,NA,NA,NA,CNC(=O)OC1=CC(=CC(C)=C1)C(C)C
2.23,14.27,15.48,5.97,-0.66,COC1=NC(NC(C)C)=NC(NC(C)C)=N1
3.12,13.9,NA,-4.04,NA,CCC(=O)NC1=CC=C(Cl)C(Cl)=C1
1.79,10.01,NA,-6.91,NA,CCNP(=S)(OC)O/C(/C)=C/C(=O)OC(C)C
2.6,13.04,NA,-0.94,NA,CC(C)OC(=O)NC1=CC=CC=C1
4.33,NA,NA,1.95,-4.19,CCCC1COC(CN2C=NC=N2)(O1)C3=C(Cl)C=C(Cl)C=C3
2.09,14.76,NA,-4.93,NA,CNC(=O)OC1=CC=CC=C1OC(C)C
3.18,14.21,NA,-1.52,NA,CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C
4.7,NA,NA,0.4,-2.01,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C3=CC=C(Cl)C=C3)C=CC=C1
4.47,NA,NA,0.91,-5.04,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C2=NN(C)C(OC(F)F)=C2Cl
5.2,NA,NA,-4.12,NA,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O
2.75,17.22,NA,7.77,1.1,CCC1=NC(N)=NC(N)=C1C2=CC=C(Cl)C=C2
2.43,13.67,NA,3.44,-1.52,CC1=CC(C)=NC(NC2=CC=CC=C2)=N1
1.55,12.45,NA,4.82,-3.84,[O-][N+](=O)C1=CC=C(NC(=O)NCC2=CC=CN=C2)C=C1
4.75,NA,NA,2.86,-2.66,CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC3=NC=CC=C3
3.87,NA,NA,1.55,-4.29,COC1=CC(OC)=NC(SC2=C(C([O])=O)C(Cl)=CC=C2)=N1
2.51,13.89,NA,9.05,4.02,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C3=CC=NC4=C3C=C(OC)C=C4
4.98,NA,NA,3.93,-6.13,FC1=CC=C(OC2=CC=NC3=CC(Cl)=CC(Cl)=C23)C=C1
4.39,NA,NA,0.06,-4.82,CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
3.53,16.29,NA,7.39,-3.92,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]4([H])N(CCC5=C4NC6=C5C=CC(OC)=C6)C2
7.46,NA,NA,5.56,-0.67,O=C(CCCCCCCCC1=CN=CC=C1)N2CCC(CC2)C=C(C3=CC=CC=C3)C4=CC=CC=C4
3,12.45,12.93,9.08,2.29,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
3.45,16.75,NA,-4.1,-5.88,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
2.76,7.93,16.12,-4.23,-6.25,OC1=C(C=CC=C1)C(=O)NC2=CC=CC=C2
3.28,11.41,NA,1.55,-1.29,CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C3=CC=CC=N3)C4=CC=C(F)C=C14
4.48,NA,NA,9.07,-0.9,CCN1CCC2(COC3=C2C=C4N(CCC4=C3)C(=O)C5=CC=C(C=C5)C6=CC=C(C=C6C)C7=NN=C(C)O7)CC1
3.14,14.62,15.31,4.36,1.09,OCC(CO)N1C=NC(=C1C2=CC=NC(OC3=CC=CC=C3)=N2)C4=CC=C(F)C=C4
5.97,15.63,NA,10.06,-0.17,CC1=NC(=NO1)C2=CC3=C(CCN(CCC4CCC(CC4)NC(=O)/C=C/C5=CC=C(F)C=C5)CC3)C=C2
0.89,15.15,NA,6.95,-2.74,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)C4=CC=CC=C4
2.33,14.36,15.77,6,-0.64,CCNC1=NC(OC)=NC(NC(C)CC)=N1
2.85,NA,NA,8.67,NA,C[C@H](CC1=CC=CC=C1)N(C)CC#C
1.78,14.75,16.01,4.23,-2.13,CCNC1=NC(NCC)=NC(Cl)=N1
3.46,11.74,NA,-0.42,-4.12,CCOC(=O)OC1=C(C(=O)N[C@@]12CC[C@@H](CC2)OC)C3=C(C)C=CC(C)=C3
5.91,NA,NA,9.09,-4.84,COC1=CC=CC(=C1)C2=C(Cl)C=C(/C=C\CN3CCCCCC3)C=C2
3.24,14.92,17.96,9.25,-0.11,CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3
3.89,14.03,NA,9.7,-3.22,CCOC(=O)COC1=CC2=C(CCC(C2)NCC(O)C3=CC(Cl)=CC=C3)C=C1
4.27,NA,NA,9.15,6.77,CN(C)C(=O)C1(CCN(CC[C@]2(CN(CCO2)C(=O)C3=CC=CC=C3)C4=CC=C(Cl)C(Cl)=C4)CC1)N5CCCCC5
